C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_12_419.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_12_419.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_12_419.jpg, 0, 0, 0, 0.0009418175
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_12_525.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_12_525.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_12_525.jpg, 0, 0, 0, 0.0009731687
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_12_631.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_12_631.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_12_631.jpg, 0, 0, 0, 0.0009885345
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_12_738.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_12_738.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_12_738.jpg, 0, 0, 0, 0.0009151014
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_12_846.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_12_846.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_12_846.jpg, 0, 0, 0, 0.0009342975
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_12_948.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_12_948.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_12_948.jpg, 0, 0, 0, 0.0009608972
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_13_050.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_13_050.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_13_050.jpg, 0, 0, 0, 0.0009329095
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_13_164.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_13_164.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_13_164.jpg, 0, 0, 0, 0.0009562867
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_13_269.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_13_269.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_13_269.jpg, 0, 0, 0, 0.0009841933
C:\Users\lemin\Desktop\finding-lanes\IMG\center_2021_12_29_12_55_13_385.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\left_2021_12_29_12_55_13_385.jpg, C:\Users\lemin\Desktop\finding-lanes\IMG\right_2021_12_29_12_55_13_385.jpg, 0, 0, 0, 0.0009094741
